,PrimaryPropertyType,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFAParking,ENERGYSTARScore,Latitude,Longitude,PropertyGFATotalLog,SiteEnergyUse(kBtu)Log,TotalGHGEmissionsLog
0,HOTEL,DOWNTOWN,1927,1.0,12.0,0.0,62.5,47.612195125,-122.33799372,4.946619269238128,6.851432003499302,2.3974269752200033
1,HOTEL,DOWNTOWN,1996,1.0,11.0,15064.0,56.0,47.613137914999996,-122.33364377999999,5.015217202939048,6.922780820186126,2.4459416769573137
2,HOTEL,DOWNTOWN,1969,1.0,41.0,98359.0,30.5,47.613639485,-122.33789972,5.981839209021251,7.862479230135752,3.3170878863290127
3,HOTEL,DOWNTOWN,1926,1.0,10.0,0.0,28.5,47.614167925000004,-122.336624445,4.787602146182338,7.141431644450778,2.8720000599973847
4,HOTEL,DOWNTOWN,1980,1.0,18.0,37230.0,71.0,47.6137522,-122.3406969,5.161629002442988,7.16128223921271,2.7044535706644255
5,OTHER,DOWNTOWN,1999,1.0,2.0,37198.0,72.0,47.61633445,-122.336667155,4.988059275466931,7.081681635468299,2.481746019565649
6,HOTEL,DOWNTOWN,1926,1.0,11.0,0.0,26.0,47.61400705,-122.33278543,4.919119950067968,6.778204536877243,2.2824403627188055
7,OTHER,DOWNTOWN,1926,1.0,8.0,0.0,72.0,47.61308617,-122.33133474499999,5.011828321872712,6.8035769660900485,2.323200808743929
8,HOTEL,DOWNTOWN,1904,1.0,15.0,0.0,44.5,47.60276467,-122.33259162499999,5.214801475787368,7.119503542860396,2.5570454562636495
9,HOTEL,DOWNTOWN,1969,1.0,11.0,19279.0,39.0,47.607035735,-122.33422966,5.185153864274539,7.186237497804958,2.8002693302198223
10,HOTEL,DOWNTOWN,1998,1.0,25.0,61161.0,34.0,47.60715602,-122.333351075,5.52267370989272,7.436581057165704,2.864589564638223
11,HOTEL,DOWNTOWN,1928,1.0,9.0,0.0,43.5,47.607044695,-122.33328268,4.81297348556229,6.8261273330513035,2.5205272574471036
12,HOTEL,DOWNTOWN,1980,1.0,33.0,57600.0,57.0,47.60809163,-122.33211758499999,5.499621108825548,7.353478004797463,2.820756404687953
13,HOTEL,DOWNTOWN,1922,1.0,11.0,12600.0,24.5,47.60758321,-122.3323844,4.896639635673871,7.03062858684112,2.6978059228375377
14,OTHER,DOWNTOWN,2004,1.0,11.0,57000.0,72.0,47.606582505,-122.332617125,5.6148972160331345,7.2479164591725596,2.2404447893676274
15,OTHER,DOWNTOWN,1930,1.0,6.0,0.0,72.0,47.60545293,-122.33279591,5.016661524327468,7.006317272325889,2.6256432621820163
16,HOTEL,DOWNTOWN,1983,1.0,28.0,85000.0,30.5,47.606685015,-122.33070816,5.619386589163347,7.523919766326464,2.891336010945206
17,RESIDENCE,DOWNTOWN,1907,1.0,5.0,0.0,72.0,47.605337985000006,-122.33161016,4.759305151803157,6.877582691533204,2.430129493869212
18,HOTEL,DOWNTOWN,1916,1.0,10.0,0.0,61.0,47.603869495,-122.33199880000001,5.018500777125863,6.950631155527276,2.5786488401162195
19,OTHER,DOWNTOWN,1916,1.0,10.0,0.0,71.5,47.602647935,-122.33051913,5.7326831930105575,7.690027867981632,3.1526223656491568
20,OTHER,DOWNTOWN,1985,1.0,19.0,0.0,72.0,47.603666884999996,-122.32836024,5.585769701882125,7.69334117715265,3.242237225142083
21,ECOLE,EAST,1961,1.0,2.0,0.0,95.5,47.545730680000005,-122.26855714999999,4.749952636160812,6.175002169274047,1.5659856886649717
22,HOTEL,EAST,2001,1.0,6.0,30586.0,84.5,47.659561405000005,-122.31747125,4.947394506167858,6.57641110938631,1.981615711539107
23,ECOLE,DOWNTOWN,1928,1.0,7.0,0.0,72.0,47.618276665,-122.3366096,5.1024096918944295,7.022802976454778,2.539136208820314
24,OTHER,DOWNTOWN,1930,1.0,2.0,0.0,72.0,47.61495291,-122.33060551,4.827524350535175,6.129981743520986,0.9731730674213463
25,HOTEL,EAST,1991,1.0,8.0,30301.0,72.0,47.61300639,-122.32926063,5.200511243983716,6.719581365564369,2.4030772804529557
26,HOTEL,DOWNTOWN,2001,1.0,10.0,38281.0,38.5,47.617954525,-122.32985722500001,5.235189969340585,7.043142782345656,2.5107452972447435
27,HOTEL,DOWNTOWN,1978,1.0,5.0,16200.0,58.5,47.615725245,-122.34191984,4.83511959042455,6.6433376127592565,2.1037930955733932
28,ECOLE,NORTH,1949,1.0,2.0,0.0,77.5,47.71002749,-122.293400875,5.20586721288659,6.8182609540204435,2.423622070216942
29,BUREAU,LAKE,1906,1.0,3.0,0.0,72.0,47.664007784999995,-122.33145087,4.940825162570237,6.609227750376487,2.18617297639858
30,HOTEL,EAST,1994,1.0,4.0,0.0,24.5,47.665840965,-122.29927209499999,4.913130095041197,6.847211383542886,2.3593527510103094
31,Warehouse,EAST,1955,1.0,2.0,0.0,77.0,47.66221163,-122.29605161500001,5.072261204361983,5.494834286235523,0.5818832299952363
32,RESIDENCE,GREATER,1992,1.0,3.0,0.0,8.0,47.53493,-122.31788,5.694460409973433,8.65165137773688,4.227140310581459
33,Warehouse,GREATER,1961,5.0,2.0,0.0,1.0,47.510991700000005,-122.28951294,5.853755992212128,7.6652183310548985,2.5085398730978747
34,ECOLE,MAGQUEE,1990,1.0,2.0,0.0,94.0,47.656986035,-122.390560485,4.740252127735848,6.218258002292467,1.4784937662569035
35,ECOLE,EAST,1950,1.0,2.0,0.0,88.0,47.682485185,-122.2944577,5.244437940830307,6.800214425387508,2.418854663170791
36,BUREAU,BALLARD,1961,1.0,2.0,0.0,57.0,47.665839815,-122.38539605,4.977266212427293,6.786378103661969,2.1029988144926035
37,BUREAU,GREATER,1900,1.0,2.0,0.0,88.0,47.58018474,-122.31156643,4.720605776726121,6.399980934675829,1.8396005387621148
38,ECOLE,WEST,1954,1.0,3.0,0.0,95.0,47.688929185,-122.33584596,5.243075272332324,6.84740605148739,2.397553323158309
39,Warehouse,DOWNTOWN,1911,1.0,3.0,0.0,72.0,47.61331017,-122.35112964000001,4.848718571793002,6.333011296434112,1.6289944862385104
40,HOTEL,DOWNTOWN,1969,1.0,24.0,205970.0,67.5,47.60948233,-122.33338645,5.521412701202233,7.201668179570278,2.44583233195464
41,BUREAU,DOWNTOWN,1973,1.0,5.0,0.0,79.0,47.61103976,-122.3363484,5.225606464936179,6.9644407135148345,1.8077379220141008
42,OTHER,DOWNTOWN,1920,1.0,2.0,0.0,72.0,47.61076,-122.33765,4.7591236917105855,6.095992509442795,1.5219222448835004
43,BUREAU,DOWNTOWN,1910,1.0,8.0,0.0,14.0,47.610473,-122.33794964500001,4.7737864449811935,6.649006911924934,1.4923374516908958
44,RESIDENCE,DOWNTOWN,1926,1.0,2.0,0.0,72.0,47.608846655,-122.3374288,4.720564455880642,7.1847632559791235,2.7663085939486196
45,HOTEL,DOWNTOWN,1930,1.0,20.0,10043.0,58.5,47.61231162,-122.334369625,4.99402664584492,6.7378301616852045,1.8316139684807713
46,HOTEL,DOWNTOWN,1982,1.0,34.0,146694.0,61.5,47.610944939999996,-122.3334622,5.997479000708363,7.91843687827946,3.4218458236046616
47,HOTEL,DOWNTOWN,1985,1.0,7.0,0.0,98.5,47.609930465,-122.34140275,4.852174904420303,6.7153399713792465,2.11577831460332
48,HOTEL,DOWNTOWN,1908,1.0,7.0,0.0,99.0,47.61155127,-122.3409943,5.089233731365399,6.719473265902417,2.3392119564518645
49,HOTEL,LAKE,1959,1.0,5.0,42546.0,86.0,47.620116405000005,-122.34413825,5.053742828357141,6.710469234053747,2.121276884372431
50,HOTEL,LAKE,2000,1.0,7.0,34735.0,83.5,47.6201609,-122.34277220000001,5.177400851899669,6.827306929048626,2.291635788696315
51,HOTEL,LAKE,1997,1.0,6.0,28200.0,82.0,47.620233479999996,-122.34317575,5.0655797147284485,6.772329227842915,2.220516874585941
52,HOTEL,MAGQUEE,1998,1.0,6.0,36744.0,81.0,47.62036794,-122.35960005,5.19201517480908,6.837334906782415,2.189386836906083
53,ECOLE,EAST,1911,1.0,3.0,0.0,76.5,47.63443766,-122.30797315000001,4.748746046975488,6.5010886291883825,2.155155342183874
54,HOTEL,MAGQUEE,1999,1.0,4.0,44891.0,94.0,47.625086280000005,-122.34456025,5.089700273872676,6.724846560979747,2.231881292775282
55,BUREAU,CENTRAL,1962,1.0,2.0,0.0,68.0,47.608320934999995,-122.30955205000001,4.740236330901004,6.536491811014733,1.9382004320375228
56,SOIN,WEST,1922,1.0,5.0,0.0,52.0,47.55837181,-122.37801400000001,5.3376648785007035,7.644660265922945,3.253281004078742
57,SOIN,WEST,1970,1.0,2.0,0.0,1.0,47.724076745000005,-122.3561449,4.9703329265045,7.214503595067253,2.7821425453796227
58,HOTEL,LAKE,2008,1.0,6.0,20732.0,71.0,47.619894515,-122.33207784999999,4.924811487595869,6.584352754535034,1.8479649795868338
59,SOIN,EAST,1965,1.0,3.0,0.0,48.0,47.61246831,-122.32136865,5.25288699681782,7.249243725457779,2.6927128412520425
60,HOTEL,EAST,1908,1.0,7.0,0.0,47.5,47.60896894,-122.3268837,4.884404492940846,6.86005822065884,2.413585766788399
61,RESIDENCE,EAST,1983,1.0,6.0,13917.0,72.0,47.608382225,-122.32649459999999,5.136138166823104,7.186291190987138,2.6654068008279825
62,BOUTIQUE,LAKE,1929,1.0,2.0,0.0,95.5,47.6223725,-122.33805,4.7658175153099185,6.026081188252322,1.5952066689294995
63,BUREAU,LAKE,2010,1.0,5.0,0.0,96.0,47.624261680000004,-122.33617623500001,5.500107430114196,7.131815713616056,2.1299583125535912
64,HOTEL,LAKE,1990,1.0,7.0,44766.0,38.5,47.626389700000004,-122.3331905,5.451576143120711,7.281978847556404,2.7142791605599994
65,OTHER,MAGQUEE,1962,1.0,1.0,0.0,72.0,47.621660414999994,-122.35370610000001,5.350269655812479,7.420708801342992,2.8322934332881307
66,OTHER,MAGQUEE,1962,1.0,1.0,0.0,72.0,47.621660414999994,-122.35370610000001,4.9600567399283495,6.807840751449457,2.313851745850952
67,OTHER,MAGQUEE,1938,1.0,5.0,0.0,72.0,47.62198519499999,-122.3521276,5.597788395697452,7.377809537503491,2.9299986337280637
68,BUREAU,LAKE,2010,1.0,12.0,0.0,90.0,47.621058825,-122.33610733,5.756886268906213,7.609128920949283,2.7973815940809876
69,OTHER,MAGQUEE,1962,1.0,2.0,0.0,72.0,47.623943175,-122.35135,4.706092465401662,6.427974197777079,1.9959538620193829
70,OTHER,MAGQUEE,1928,1.0,1.0,0.0,72.0,47.623915409999995,-122.35036995,4.7831600710560105,5.95430417189293,0.797800462438911
